Bramar,Mat,1981/12/19,Tethys,Male,Tethys,BirthNation,1981/12/19,Tethys,2007/12/12,2017/12/11,Administration,Assistant to CEO,2005/7/1,Mat.Bramar@gastech.com.kronos,,,
Ribera,Anda,1975/11/17,Tethys,Female,Tethys,BirthNation,1975/11/17,Tethys,2009/6/15,2019/6/14,Administration,Assistant to CFO,2009/10/30,Anda.Ribera@gastech.com.kronos,,,
Pantanal,Rachel,1984/8/22,Tethys,Female,Tethys,BirthNation,1984/8/22,Tethys,2013/6/13,2023/6/12,Administration,Assistant to CIO,2013/10/1,Rachel.Pantanal@gastech.com.kronos,,,
Lagos,Linda,1980/1/26,Tethys,Female,Tethys,BirthNation,1980/1/26,Tethys,2009/11/1,2019/10/31,Administration,Assistant to COO,2010/2/1,Linda.Lagos@gastech.com.kronos,,,
Mies Haber,Ruscella,1964/4/26,Kronos,Female,Kronos,BirthNation,1964/4/26,,,,Administration,Assistant to Engineering Group Manager,2003/4/2,Ruscella.Mies.Haber@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1984/10/1
Forluniau,Carla,1981/6/2,Kronos,Female,Kronos,BirthNation,1981/6/2,,,,Administration,Assistant to IT Group Manager,2005/3/7,Carla.Forluniau@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,2001/10/1
Lais,Cornelia,1991/7/7,Kronos,Female,Kronos,BirthNation,1991/7/7,,,,Administration,Assistant to Security Group Manager,2011/12/22,Cornelia.Lais@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,2011/10/1
Onda,Marin,1969/12/31,Tethys,Male,Tethys,BirthNation,1969/12/31,Tethys,2005/4/15,2015/4/14,Engineering,Drill Site Manager,2003/4/13,Marin.Onda@gastech.com.kronos,,,
Borrasca,Isande,1979/10/22,Tethys,Female,Tethys,BirthNation,1979/10/22,Tethys,2008/10/3,2018/10/2,Engineering,Drill Technician,2004/2/18,Isande.Borrasca@gastech.com.kronos,,,
Calzas,Axel,1975/9/13,Tethys,Male,Tethys,BirthNation,1975/9/13,Tethys,2012/1/31,2022/1/30,Engineering,Drill Technician,1997/7/17,Axel.Calzas@gastech.com.kronos,,,
Orilla,Kare,1964/2/29,Tethys,Female,Tethys,BirthNation,1964/2/29,Tethys,2013/7/1,2023/6/30,Engineering,Drill Technician,2005/11/12,Kare.Orilla@gastech.com.kronos,,,
Orilla,Elsa,1982/4/12,Tethys,Female,Tethys,BirthNation,1982/4/12,Tethys,2010/2/28,2020/2/27,Engineering,Drill Technician,2004/5/26,Elsa.Orilla@gastech.com.kronos,,,
Tempestad,Brand,1979/5/14,Tethys,Male,Tethys,BirthNation,1979/5/14,Tethys,2012/5/5,2022/5/4,Engineering,Drill Technician,2004/6/12,Brand.Tempestad@gastech.com.kronos,,,
Azada,Lars,1973/4/30,Tethys,Male,Tethys,BirthNation,1973/4/30,Tethys,2011/6/1,2021/5/31,Engineering,Engineer,1995/12/1,Lars.Azada@gastech.com.kronos,TethanDefenseForceAir,GeneralDischarge,1995/10/1
Balas,Felix,1960/3/4,Tethys,Male,Tethys,BirthNation,1960/3/4,Tethys,2005/4/15,2015/4/14,Engineering,Engineer,2004/9/2,Felix.Balas@gastech.com.kronos,TethanDefenseForceNavy,HonorableDischarge,1988/10/1
Dedos,Lidelse,1952/2/14,Tethys,Female,Tethys,BirthNation,1952/2/14,Tethys,2008/8/13,2018/8/12,Engineering,Engineering Group Manager,2003/3/1,Lidelse.Dedos@gastech.com.kronos,,,
Frente,Birgitta,1976/7/31,Tethys,Female,Tethys,BirthNation,1976/7/31,Tethys,2006/3/17,2016/3/16,Engineering,Geologist,1999/5/3,Birgitta.Frente@gastech.com.kronos,,,
Nubarron,Adra,1968/6/6,Tethys,Female,Tethys,BirthNation,1968/6/6,Tethys,2007/11/12,2017/11/11,Engineering,Geologist,1994/7/8,Adra.Nubarron@gastech.com.kronos,,,
Cazar,Gustav,1986/11/6,Tethys,Male,Tethys,BirthNation,1986/11/6,Tethys,2009/6/10,2019/6/9,Engineering,Hydraulic Technician,2009/9/15,Gustav.Cazar@gastech.com.kronos,,,
Frente,Vira,1977/12/29,Tethys,Female,Tethys,BirthNation,1977/12/29,Tethys,2010/2/20,2020/2/19,Engineering,Hydraulic Technician,2001/12/1,Vira.Frente@gastech.com.kronos,,,
Vasco-Pais,Willem,1975/3/18,Tethys,Male,Tethys,BirthNation,1975/3/18,Tethys,2011/11/26,2021/11/25,Executive,Environmental Safety Advisor,2010/6/5,Willem.Vasco-Pais@gastech.com.kronos,,,
Sanjorge Jr.,Sten,1948/8/29,Tethys,Male,Tethys,BirthNation,1948/8/29,Tethys,2013/4/21,2023/4/20,Executive,President/CEO,1990/11/9,Sten.Sanjorge Jr.@gastech.com.kronos,,,
